"","long","lat","group","order","region","subregion","fips","numbers","state","s1","s2","county","s3"
"1",-91.4956283569336,40.2101783752441,561,21883,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"2",-90.9112091064453,40.1929893493652,561,21884,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"3",-90.9112091064453,40.1070442199707,561,21885,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"4",-90.9112091064453,39.8377532958984,561,21886,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"5",-90.9169387817383,39.7575416564941,561,21887,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"6",-91.3638458251953,39.7575416564941,561,21888,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"7",-91.3810424804688,39.7976493835449,561,21889,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"8",-91.4497909545898,39.8549423217773,561,21890,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"9",-91.4555206298828,39.8835906982422,561,21891,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"10",-91.4440612792969,39.91796875,561,21892,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"11",-91.421142578125,39.9408874511719,561,21893,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"12",-91.4669799804688,40.0096435546875,561,21894,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"13",-91.4841690063477,40.0382919311523,561,21895,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"14",-91.5013580322266,40.1586112976074,561,21896,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"15",-91.4956283569336,40.2101783752441,561,21897,"illinois","adams","1",19,"IL",17,1,"adams","H1"
"16",-89.2152633666992,37.345386505127,562,21899,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"17",-89.2038040161133,37.3224716186523,562,21900,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"18",-89.1980667114258,37.3110122680664,562,21901,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"19",-89.2095336914062,37.2995529174805,562,21902,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"20",-89.249641418457,37.2709045410156,562,21903,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"21",-89.25537109375,37.2365264892578,562,21904,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"22",-89.2668228149414,37.2193412780762,562,21905,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"23",-89.2668228149414,37.207878112793,562,21906,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"24",-89.2668228149414,37.1964225769043,562,21907,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"25",-89.2725524902344,37.1792297363281,562,21908,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"26",-89.2668228149414,37.1563148498535,562,21909,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"27",-89.2725524902344,37.1391220092773,562,21910,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"28",-89.2610931396484,37.1104774475098,562,21911,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"29",-89.249641418457,37.0990142822266,562,21912,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"30",-89.2095336914062,37.0990142822266,562,21913,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"31",-89.1980667114258,37.0932884216309,562,21914,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"32",-89.1808776855469,37.070369720459,562,21915,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"33",-89.1923370361328,37.0417213439941,562,21916,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
"34",-89.1751480102539,37.0016136169434,562,21917,"illinois","alexander","3",10,"IL",17,3,"alexander","H1"
